engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
grpc,batch_1k_16-0,,1024,uniform,hit,1,3200,200,91780.50509514107,89.6293995069737,0.1676255,0.20791874999999999,0.21792216999999992,,0,0,3200,,,,0,35.860625,3.291306275527443,144.8359375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/batch_1k_16-0/result.json
memcached,batch_1k_16-0,,1024,uniform,hit,1,3200,200,137519.07001940726,134.2959668158274,0.1067085,0.15957019999999997,0.18669033,,0,0,3200,,,,0,5.9090625,0.8126087796865537,6.98046875,0.0,0.0,bench/investigation/runs/2026-09-23-batch-fixed/memcached/batch_1k_16-0/result.json
redis,batch_1k_16-0,,1024,uniform,hit,1,3200,200,129431.51253485061,126.39796145981505,0.12608350000000002,0.16198395,0.19020657999999996,,0,0,3200,,,,0,10.193125,1.3193115862067992,12.5,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/batch_1k_16-0/result.json
valkey,batch_1k_16-0,,1024,uniform,hit,1,3200,200,117999.17791137283,115.23357217907503,0.127625,0.163259,0.20379749999999994,,0,0,3200,,,,0,10.4503125,1.2331282839169433,11.83984375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/batch_1k_16-0/result.json
grpc,bypass_onepass_64k-0,1.6.0,65536,one_pass,bypass,1,500,,149.74703414692473,0.0,6.819333,7.4294312499999995,7.64448334,,0,0,500,0.0,500,0,0,88.244,0.013214277281261224,144.765625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/bypass_onepass_64k-0/result.json
memcached,bypass_onepass_64k-0,1.6.45,65536,one_pass,bypass,1,500,,150.59694746021862,0.0,6.7327085,7.4022681,7.716385089999999,,0,0,500,0.0,500,0,0,21.122,0.003180908724254738,4.49609375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/bypass_onepass_64k-0/result.json
memcached_extstore,bypass_onepass_64k-0,1.6.45,65536,one_pass,bypass,1,500,,150.23996694105787,0.0,6.8090209999999995,7.3892348,7.60848459,,0,0,500,0.0,500,0,0,90.404,0.013582293971339397,5.953125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/bypass_onepass_64k-0/result.json
redis,bypass_onepass_64k-0,8.2.10,65536,one_pass,bypass,1,500,,148.5162005561491,0.0,6.868625,7.326817299999998,7.636462,,0,0,500,0.0,500,0,0,93.954,0.013953691107052432,11.8515625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/bypass_onepass_64k-0/result.json
valkey,bypass_onepass_64k-0,8.1.10,65536,one_pass,bypass,1,500,,155.9938389099355,0.0,6.3102915,7.35085385,7.524024409999999,,0,0,500,0.0,500,0,0,28.484,0.004443328507510603,10.2890625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/bypass_onepass_64k-0/result.json
grpc,hit_100b-0,1.6.0,100,uniform,hit,1,3000,,7561.272297481707,0.7210991189462382,0.129875,0.16330239999999993,0.18862582999999997,,0,3000,3000,1.0,0,300000,0,104.862,0.7928901356585267,147.07421875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/hit_100b-0/result.json
memcached,hit_100b-0,1.6.45,100,uniform,hit,1,3000,,19725.41122900426,1.8811618069652807,0.0513125,0.07342114999999998,0.09450790999999982,,0,3000,3000,1.0,0,300000,0,21.668,0.42741021051006434,6.5,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/hit_100b-0/result.json
