engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
grpc,steady_uniform_64k-0,1.6.0,65536,uniform,origin,1,4000,,318.7678992339322,12.905119170548724,0.630396,8.648366999999999,9.21896134,,0,2591,4000,0.64775,1409,169803776,0,573.86875,0.18293093587350265,230.26171875,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/grpc/steady_uniform_64k-0/result.json
memcached,steady_uniform_64k-0,1.6.45,65536,uniform,origin,1,4000,,432.29802648944184,18.791454838962924,0.360208,7.5725,7.879095499999999,,0,2782,4000,0.6955,1218,182321152,0,200.02225,0.08646922392897775,100.01953125,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/memcached/steady_uniform_64k-0/result.json
memcached_extstore,steady_uniform_64k-0,1.6.45,65536,uniform,origin,1,4000,,1165.2846123634215,66.69433648573771,0.2266665,7.089768749999993,8.97029042,,0,3663,4000,0.91575,337,240058368,0,196.611,0.22910777292138468,108.5,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/memcached_extstore/steady_uniform_64k-0/result.json
redis,steady_uniform_64k-0,8.2.10,65536,uniform,origin,1,4000,,315.5592149663926,11.749650144764274,0.3938545,8.088416999999998,8.384972999999999,,0,2383,4000,0.59575,1617,156172288,0,262.8265,0.08293732401236457,92.984375,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/redis/steady_uniform_64k-0/result.json
valkey,steady_uniform_64k-0,8.1.10,65536,uniform,origin,1,4000,,313.20486779967456,11.681562803715988,0.4121875,8.0887649,8.39092658,,0,2387,4000,0.59675,1613,156434432,0,246.24575,0.07712536757498172,91.234375,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/valkey/steady_uniform_64k-0/result.json
grpc,steady_uniform_64k-1,1.6.0,65536,uniform,origin,1,4000,,321.12316557325875,13.000470656254896,0.6273124999999999,8.59465205,9.104796669999999,,0,2591,4000,0.64775,1409,169803776,0,575.67825,0.18486362199167383,230.5546875,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/grpc/steady_uniform_64k-1/result.json
memcached,steady_uniform_64k-1,1.6.45,65536,uniform,origin,1,4000,,413.5947275434666,17.978445812905065,0.411396,7.9890943999999955,9.106069589999999,,0,2782,4000,0.6955,1218,182321152,0,204.0775,0.0844053780102518,100.26171875,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/memcached/steady_uniform_64k-1/result.json
memcached_extstore,steady_uniform_64k-1,1.6.45,65536,uniform,origin,1,4000,,1163.5883669279053,66.57907187015608,0.2200415,7.346145199999999,8.859139249999998,,0,3662,4000,0.9155,338,239992832,0,190.94075,0.22217643547248944,108.5,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/memcached_extstore/steady_uniform_64k-1/result.json
redis,steady_uniform_64k-1,8.2.10,65536,uniform,origin,1,4000,,311.19483536725704,11.601732456035553,0.4141665,8.1657625,8.514224079999996,,0,2386,4000,0.5965,1614,156368896,0,275.181,0.08563490599119716,92.734375,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/redis/steady_uniform_64k-1/result.json
valkey,steady_uniform_64k-1,8.1.10,65536,uniform,origin,1,4000,,318.2345417401499,12.023298780120038,0.40812499999999996,8.121528549999999,8.419455329999998,,0,2418,4000,0.6045,1582,158466048,0,252.1055,0.08022867826267135,91.6953125,0.0,0.0,bench/investigation/runs/2026-09-23-steady-1.6/valkey/steady_uniform_64k-1/result.json
