case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
hit_100b_c8,r0,grpc,0,10.00014038,46938.741073952806,4.476427180667192,469394,469394,469394,469394,0,1.0,1.0,0.0,0,46939400,0.157041,0.274958,0.49950293999999984,0.7574253809999999,469394,True,0,27.486326,58.55704589321551,30101504,30113792,0,0,0,0,23.541986,41050112,0,0,0,0,0,0,0,0,,0,1002,12580544,0,469394,0,1.0
hit_100b_c8,r0,memcached,0,10.000048629,104209.2932406279,9.938172649443427,1042098,1042098,1042098,1042098,0,1.0,1.0,0.0,0,104209800,0.076625,0.113625,0.131291,0.20798787499999988,1042098,True,0,13.224906,12.690654813654762,13570048,13635584,0,0,0,0,23.722432,74186752,0,0,0,0,0,0,0,0,,0,1000,183890,,,,
hit_100b_c8,r0,redis,0,10.000075755,132966.09271536465,12.680634757553543,1329671,1329671,1329671,1329671,0,1.0,1.0,0.0,0,132967100,0.061416,0.09470849999999995,0.112333,0.22262424999999986,1329671,True,0,8.89454,6.689278776479295,16220160,19677184,0,0,0,0,22.003164,84488192,0,0,0,0,0,0,0,0,,0,,1423096,,,,
hit_16k_c8,r0,grpc,0,10.000168338,40329.62109922434,630.1503296753804,403303,403303,403303,403303,0,1.0,1.0,0.0,0,6607716352,0.169292,0.4238708999999993,0.698417,0.8941074339999999,403303,True,0,25.9655,64.38211468796413,47202304,52977664,0,0,0,0,24.819724,35438592,0,0,0,0,0,0,0,0,,0,1002,29357760,0,403303,0,1.0
hit_16k_c8,r0,memcached,0,10.000037171,91769.35888411608,1433.8962325643138,917697,917697,917697,917697,0,1.0,1.0,0.0,0,15035547648,0.077875,0.156959,0.31875,0.8142992319999994,917697,True,0,15.678921,17.085073831558784,30453760,31469568,0,0,0,0,25.814131,62103552,0,0,0,0,0,0,0,0,,0,1000,16466890,,,,
hit_16k_c8,r0,redis,0,10.000053004,87380.93684608235,1365.3271382200367,873814,873814,873814,873814,0,1.0,1.0,0.0,0,14316568576,0.084917,0.149333,0.26679187,0.48948922899999986,873814,True,0,9.178077,10.503467557168918,39219200,40013824,0,0,0,0,21.241785,59494400,0,0,0,0,0,0,0,0,,0,,21791000,,,,
hit_1k_c1,r0,grpc,0,10.000078004,9905.022736860643,9.672873766465472,99051,99051,99051,99051,0,1.0,1.0,0.0,0,101428224,0.097333,0.127875,0.16122949999999997,0.2851847999999998,99051,True,0,8.440112,85.20976062836317,26193920,33579008,0,0,0,0,7.325932,15593472,0,0,0,0,0,0,0,0,,0,1002,8387424,0,99051,0,1.0
hit_1k_c1,r0,memcached,0,10.000014504,20287.57057490764,19.812080639558243,202876,202876,202876,202876,0,1.0,1.0,0.0,0,207745024,0.049334,0.058291,0.064375,0.11259337499999998,202876,True,0,3.359053,16.557172854354384,13557760,13647872,0,0,0,0,5.1453,15826944,0,0,0,0,0,0,0,0,,0,1000,1105890,,,,
hit_1k_c1,r0,redis,0,10.000045422,19056.11344332152,18.60948578449367,190562,190562,190562,190562,0,1.0,1.0,0.0,0,195135488,0.053541,0.059792,0.0695,0.15947187499999996,190562,True,0,3.336447,17.508459189135294,19410944,19984384,0,0,0,0,5.007731,17756160,0,0,0,0,0,0,0,0,,0,,2590744,,,,
hit_1k_c16,r0,grpc,0,10.000212713,69408.92358196381,67.78215193551154,694104,694104,694104,694104,0,1.0,1.0,0.0,0,710762496,0.206833,0.392125,0.82191697,1.296320125,694104,True,0,29.324362,42.24779283796088,28848128,34021376,0,0,0,0,29.054172,51867648,0,0,0,0,0,0,0,0,,0,1002,8387424,0,694104,0,1.0
hit_1k_c16,r0,memcached,0,10.000066338,258927.88232421424,252.85926008224047,2589296,2589296,2589296,2589296,0,1.0,1.0,0.0,0,2651439104,0.051333,0.124916,0.182,0.7272675149999998,2589296,True,0,22.778108,8.797027454566802,13639680,13643776,0,0,0,0,33.110708,142966784,0,0,0,0,0,0,0,0,,0,1000,1106890,,,,
hit_1k_c16,r0,redis,0,10.000102797,176801.28253585592,172.6575024764218,1768031,1768031,1768031,1768031,0,1.0,1.0,0.0,0,1810463744,0.088125,0.139375,0.170083,0.46316476999999995,1768031,True,0,9.670879,5.469858277371833,19836928,20623360,0,0,0,0,25.344268,99704832,0,0,0,0,0,0,0,0,,0,,2590872,,,,
hit_1k_c4,r0,grpc,0,10.000115712,26571.392537102674,25.94862552451433,265717,265717,265717,265717,0,1.0,1.0,0.0,0,272094208,0.139958,0.22125,0.327708,0.6051654999999998,265717,True,0,21.836686,82.18023686854812,27467776,30793728,0,0,0,0,17.990148,23818240,0,0,0,0,0,0,0,0,,0,1002,8387424,0,265717,0,1.0
hit_1k_c4,r0,memcached,0,10.000074754,52652.90639846351,51.41885390474952,526533,526533,526533,526533,0,1.0,1.0,0.0,0,539169792,0.075083,0.098292,0.112541,0.18353668799999995,526533,True,0,9.672932,18.370989092801402,13553664,13623296,0,0,0,0,17.864547,35823616,0,0,0,0,0,0,0,0,,0,1000,1105890,,,,
hit_1k_c4,r0,redis,0,10.000062088,48738.59739179652,47.596286515426286,487389,487389,487389,487389,0,1.0,1.0,0.0,0,499086336,0.082792,0.099958,0.11291612,0.24541011199999993,487389,True,0,4.76806,9.782863380174769,19193856,20250624,0,0,0,0,13.651319,31936512,0,0,0,0,0,0,0,0,,0,,2590984,,,,
hit_1m_c4,r0,grpc,0,10.001452214,2270.0703372075322,2270.0703372075322,22704,22704,22704,22704,0,1.0,1.0,0.0,0,23806869504,1.5764165,2.820868749999999,3.4935789899999996,4.525567676999999,22704,True,0,27.320038,1203.3138653981678,111034368,120053760,0,0,0,0,16.234803,54759424,0,0,0,0,0,0,0,0,,0,42,67106496,0,22704,0,1.0
hit_1m_c4,r0,memcached,0,10.000324046,7240.4653756156895,7240.4653756156895,72407,72407,72407,72407,0,1.0,1.0,0.0,0,75924242432,0.488209,1.0302794,1.45248998,2.444972249999998,72407,True,0,12.473619,172.27089922245088,55693312,57159680,0,0,0,0,26.277917,89587712,0,0,0,0,0,0,0,0,,0,40,41946270,,,,
hit_1m_c4,r0,redis,0,10.000436505,5535.358378839084,5535.358378839084,55356,55356,55356,55356,0,1.0,1.0,0.0,0,58044973056,0.6780415,1.2359794999999993,1.6235793499999998,2.9760701949999984,55356,True,0,8.221516,148.5207746224438,66015232,70430720,0,0,0,0,22.169981,43454464,0,0,0,0,0,0,0,0,,0,,53680280,,,,
hit_256k_c8,r0,grpc,0,10.000747254,10295.430669825026,2573.8576674562564,102962,102962,102962,102962,0,1.0,1.0,0.0,0,26990870528,0.718375,1.34933395,1.7735583799999999,2.633351013,102962,True,0,28.029161,272.2282104077232,84217856,89198592,0,0,0,0,23.139879,47374336,0,0,0,0,0,0,0,0,,0,162,62912192,0,102962,0,1.0
hit_256k_c8,r0,memcached,0,10.000366879,18542.919699216367,4635.729924804092,185436,185436,185436,185436,0,1.0,1.0,0.0,0,48610934784,0.384625,0.90533325,1.27934595,1.8922825,185436,True,0,9.542711,51.46094070191333,67383296,71434240,0,0,0,0,25.163064,41836544,0,0,0,0,0,0,0,0,,0,160,41956370,,,,
