case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
origin_uniform_64k_5ms,r0,grpc_nvm,0,60.001290277,16665.67494438216,1041.604684023885,999962,999962,999962,999962,0,1.0,1.0,0.0,0,65533509632,0.356542,1.092084,1.45925,3.237790348999995,999962,True,0,174.44073,174.44735899964198,270639104,295632896,0,0,0,0,115.052919,72089600,536870912,536870912,350309,0,0,24011341824,0,0,,350309,1325,96466624,350309,649653,0.3503223122478654,0.6496776877521346
origin_uniform_64k_5ms,r0,memcached_extstore,0,60.000188028,45003.92563336452,2812.7453520852823,2700244,2700244,2700244,2700244,0,1.0,1.0,0.0,0,176963190784,0.120917,0.396375,0.564208,0.942209,2700244,True,0,126.758328,46.94328660669184,200355840,200355840,0,0,0,0,131.839152,132993024,75497472,84017152,0,0,0,0,922775,25399413,60562824119,0,2048,134413226,,,,
origin_uniform_64k_5ms,r1,grpc_nvm,0,60.000591194,16654.50256596683,1040.906410372927,999280,999280,999280,999280,0,1.0,1.0,0.0,0,65488814080,0.356417,1.098708,1.4759256099999996,2.9004463749999965,999280,True,0,173.503277,173.6282893683452,278392832,286412800,0,0,0,0,114.741123,69349376,536870912,536870912,350400,0,0,24017539072,0,0,,350401,1325,96466624,350400,648880,0.3506524697782403,0.6493475302217596
origin_uniform_64k_5ms,r1,memcached_extstore,0,60.000233694,45583.272457712104,2848.9545286070065,2735007,2735007,2735007,2735007,0,1.0,1.0,0.0,0,179241418752,0.121708,0.38775,0.551667,0.949625,2735007,True,0,124.356953,45.46860501636742,204251136,204308480,0,0,0,0,131.464683,161472512,75497472,84017152,0,0,0,0,935682,26252644,61409904678,0,2048,134413226,,,,
origin_uniform_64k_5ms,r2,grpc_nvm,0,60.000447694,16817.17451753119,1051.0734073456995,1009038,1009038,1009038,1009038,0,1.0,1.0,0.0,0,66128314368,0.355583,1.084417,1.448375,2.2203145369999997,1009038,True,0,176.039762,174.46296571586007,266104832,292454400,0,0,0,0,116.524568,67670016,536870912,536870912,354520,0,0,24297390080,0,0,,354520,1325,96466624,354520,654518,0.3513445479753983,0.6486554520246016
origin_uniform_64k_5ms,r2,memcached_extstore,0,60.000290777,46281.69237247229,2892.605773279518,2776915,2776915,2776915,2776915,0,1.0,1.0,0.0,0,181987901440,0.1205,0.380375,0.537,0.9155910519999998,2776915,True,0,125.573301,45.220433826746586,206917632,206921728,0,0,0,0,132.185905,130207744,75497472,84017152,0,0,0,0,948652,26252624,62261199397,0,2048,134413226,,,,
origin_uniform_64k_5ms,r3,grpc_nvm,0,60.000993735,16838.037790875263,1052.377361929704,1010299,1010299,1010299,1010299,0,1.0,1.0,0.0,0,66210955264,0.354375,1.0846661,1.4444588399999996,2.140778782,1010299,True,0,175.207568,173.42149997179052,268259328,291770368,0,0,0,0,117.548981,74641408,536870912,536870912,354730,0,0,24314449920,0,0,,354730,1325,96466624,354730,655569,0.3511138781687401,0.6488861218312598
origin_uniform_64k_5ms,r3,memcached_extstore,0,60.00018361,46210.75858737693,2888.172411711058,2772654,2772654,2772654,2772654,0,1.0,1.0,0.0,0,181708652544,0.120125,0.3805,0.5506442699999989,0.929833,2772654,True,0,128.04,46.17958100794401,202739712,202776576,0,0,0,0,133.302271,150388736,75497472,84017152,0,0,0,0,950047,26515159,62352718763,0,2048,134413226,,,,
origin_uniform_64k_5ms,r4,grpc_nvm,0,60.000655027,16644.501623367254,1040.2813514604534,998681,998681,998681,998681,0,1.0,1.0,0.0,0,65449558016,0.360083,1.096416,1.455917,2.13051344,998681,True,0,175.136008,175.36731749177164,261820416,291192832,0,0,0,0,115.363463,69656576,536870912,536870912,350269,0,0,24007999488,0,0,,350269,1325,96466624,350269,648412,0.35073161500018524,0.6492683849998148
origin_uniform_64k_5ms,r4,memcached_extstore,0,60.000315736,45846.675409234886,2865.4172130771803,2750815,2750815,2750815,2750815,0,1.0,1.0,0.0,0,180277411840,0.121,0.38325,0.5614102599999989,1.0010652499999997,2750815,True,0,127.642033,46.401533000219935,195883008,196161536,0,0,0,0,131.817234,142630912,75497472,84017152,0,0,0,0,939380,26186983,61652725607,0,2048,134413226,,,,
