case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
repeated_256k_c8,r0,grpc_adapter,0,60.002248527,2719.748076216957,679.9370190542393,163191,0,0,42779541504,1.0,1.0,2.769,4.849,5.920099999999999,8.009719999999998,163191,94.81053299999999,580.9789326617275,126164992,126164992,104.212157,31670272,0,0,0.012914,31674368,,52.248312,42.562221,65495040,60669952
repeated_256k_c8,r0,nginx,0,60.002068236,3018.779274200484,754.694818550121,181133,0,0,47482929152,1.0,1.0,2.623,3.537,4.259679999999999,5.810943999999999,181133,51.854248,286.27719962679356,41361408,41361408,110.784869,35762176,16815454,17043456,0.015962,30654464,51.854248,,,,
repeated_256k_c8,r1,grpc_adapter,0,60.002549486,2744.6000446768417,686.1500111692104,164683,0,0,43170660352,1.0,1.0,2.744,4.803,5.830179999999999,7.608908,164683,97.199534,590.2220265601185,132014080,132014080,98.945137,28024832,0,0,0.013176,32129024,,50.951935,46.247599,68812800,63201280
repeated_256k_c8,r1,nginx,0,60.002489611,3046.1069396442645,761.5267349110661,182774,0,0,47913107456,1.0,1.0,2.597,3.592,4.327,5.766177999999997,182774,51.990246,284.4509941238907,30511104,30511104,111.695087,27176960,16815454,17043456,0.013554,31674368,51.990246,,,,
repeated_256k_c8,r2,grpc_adapter,0,60.002239777,2764.1468154589684,691.0367038647421,165855,0,0,43477893120,1.0,1.0,2.726,4.782,5.881,8.780773999999997,165855,94.53334699999999,569.9758644599198,124256256,124256256,100.272694,28004352,0,0,0.012856,32129024,,53.380302,41.153045,63139840,61116416
repeated_256k_c8,r2,nginx,0,60.002514318,3050.522166953437,762.6305417383593,183039,0,0,47982575616,1.0,1.0,2.576,3.765,4.498619999999998,5.840771999999999,183039,51.872774,283.39738525669395,30658560,30658560,113.495927,25477120,16815454,17043456,0.013581,32129024,51.872774,,,,
repeated_256k_c8,r3,grpc_adapter,0,60.002644651,2647.5833011029194,661.8958252757299,158862,0,0,41644720128,1.0,1.0,2.827,4.998,6.329389999999998,13.399308999999995,158862,96.33311599999999,606.3949591469325,128241664,128241664,99.933689,27324416,0,0,0.012285,32231424,,50.957806,45.37531,63381504,64860160
repeated_256k_c8,r3,nginx,0,60.001739444,3025.3789587120423,756.3447396780106,181528,0,0,47586476032,1.0,1.0,2.603,3.683,4.507729999999999,5.9878919999999995,181528,51.526708,283.84991846987793,31002624,31002624,112.8025,25845760,16815454,17043456,0.014872,32231424,51.526708,,,,
repeated_256k_c8,r4,grpc_adapter,0,60.001944695,2745.794337791338,686.4485844478345,164753,0,0,43189010432,1.0,1.0,2.751,4.789,5.77,7.077239999999999,164753,97.842424,593.8733983599692,128565248,128565248,100.763446,26677248,0,0,0.012113,32231424,,51.122069,46.720355,65617920,62947328
repeated_256k_c8,r4,nginx,0,60.002378611,3010.8639720972747,752.7159930243187,180659,0,0,47358672896,1.0,1.0,2.621,3.949,4.672,6.077342,180659,51.144032,283.09706131441004,29286400,29286400,116.242639,23285760,16815454,17043456,0.0136,32231424,51.144032,,,,
