case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
origin_uniform_64k_5ms,r0,grpc,0,60.003777069,3696.483968749877,149.1333202193222,221803,221803,221803,143177,78626,0.6455142626565015,0.6455142626565015,354.4857373434985,5152833536,9383247872,0.241666,6.209245899999999,6.53595716,6.834640368,221803,True,0,38.5047,173.59864384160718,118235136,118722560,0,0,0,0,36.491314,37064704,0,0,0,0,0,0,0,0,,77494,1325,96466624,0,143177,0,0.6455142626565015
origin_uniform_64k_5ms,r0,grpc_nvm,0,60.000535861,16553.385494771588,1034.5865934232243,993212,993212,993212,993212,0,1.0,1.0,0.0,0,65091141632,0.36425,1.1083524499999982,1.464125,1.9787977629999998,993212,True,0,174.311403,175.50271543235482,281554944,307232768,0,0,0,0,117.509511,74305536,536870912,536870912,348335,0,0,23876395008,0,0,,348335,1325,96466624,348335,644877,0.35071565788572834,0.6492843421142717
origin_uniform_64k_5ms,r0,memcached,0,60.005777236,4330.08306813693,186.4778778881777,259830,259830,259830,179036,80794,0.6890505330408344,0.6890505330408344,310.9494669591656,5294915584,11733303296,0.142833,6.091481099999999,6.37621375,6.648910568,259830,True,0,14.286298,54.98325058692222,109441024,112529408,0,0,0,0,23.579881,22597632,0,0,0,0,0,0,0,0,,79518,1410,92540349,,,,
origin_uniform_64k_5ms,r0,memcached_extstore,0,60.000418401,44326.490895864714,2770.4056809915446,2659608,2659608,2659608,2659608,0,1.0,1.0,0.0,0,174300069888,0.122417,0.40475,0.5646221299999991,0.9814571369999995,2659608,True,0,127.80608,48.05448020911352,201965568,202293248,0,0,0,0,130.328598,155975680,75497472,84017152,0,0,0,0,910793,25136910,59776414151,0,2048,134413226,,,,
origin_uniform_64k_5ms,r0,redis,0,60.000312444,2972.0511900072997,109.00984900877893,178324,178324,178324,104650,73674,0.5868531437159328,0.5868531437159328,413.1468562840672,4828299264,6858342400,0.40875,6.850583,7.3700255,8.067518742999999,178324,True,0,14.671064,82.27195442004441,101564416,103010304,0,0,0,0,24.344393,21172224,0,0,0,0,0,0,0,0,,72796,,99817528,,,,
origin_uniform_64k_5ms,r0,valkey,0,60.004896068,2968.3911092546414,109.02964472409025,178118,178118,178118,104677,73441,0.5876834458055895,0.5876834458055895,412.31655419441046,4813029376,6860111872,0.409208,6.8882143,7.4334438899999995,8.241515836,178118,True,0,14.441854,81.08026139974623,100429824,102670336,0,0,0,0,24.688294,18911232,0,0,0,0,0,0,0,0,,72535,,99833304,,,,
origin_uniform_64k_5ms,r1,grpc,0,60.004685486,3687.695355917293,148.4956954249671,221279,221279,221279,142567,78712,0.6442861726598548,0.6442861726598548,355.71382734014526,5158469632,9343270912,0.236875,6.215546099999999,6.52634224,6.809414676,221279,True,0,38.082233,172.10052919617317,116617216,120315904,0,0,0,0,36.156331,47726592,0,0,0,0,0,0,0,0,,77556,1325,96466624,0,142567,0,0.6442861726598548
origin_uniform_64k_5ms,r1,grpc_nvm,0,60.000542694,16292.602635038425,1018.2876646899016,977565,977565,977565,977565,0,1.0,1.0,0.0,0,64065699840,0.368708,1.1463667999999982,1.5915567599999996,2.772888064,977565,True,0,176.927379,180.98784121771953,268582912,298717184,0,0,0,0,111.2678,73986048,536870912,536870912,342665,0,0,23487152128,0,0,,342665,1325,96466624,342665,634900,0.3505291208257251,0.6494708791742748
origin_uniform_64k_5ms,r1,memcached,0,60.002440361,4318.741011881092,185.72265449461926,259135,259135,259135,178301,80834,0.6880622069577633,0.6880622069577633,311.93779304223665,5297537024,11685134336,0.143667,6.077125,6.362277059999999,6.683170627999999,259135,True,0,14.243494,54.96553533872306,105013248,112746496,0,0,0,0,23.58766,23678976,0,0,0,0,0,0,0,0,,79425,1410,92540367,,,,
origin_uniform_64k_5ms,r1,memcached_extstore,0,60.000315153,44305.700615425565,2769.106288464098,2658356,2658356,2658356,2658356,0,1.0,1.0,0.0,0,174218018816,0.122792,0.404334,0.573583,1.005068445,2658356,True,0,127.52249,47.97043360633414,196067328,196161536,0,0,0,0,130.847117,154456064,75497472,84017152,0,0,0,0,909928,25136919,59719645054,0,2048,134413226,,,,
