case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
offered_origin_64k_1500,r0,grpc,0,60.00626061,1499.8601660074348,60.62596574121035,90001,90001,90001,58207,31794,0.6467372584749058,0.6467372584749058,353.26274152509416,2083651584,3814653952,1.218892,7.141631,7.635977,8.083157,90001,True,0,18.405484,204.50310552104978,117817344,125829120,0,0,0,0,17.743702,33075200,0,0,0,0,0,0,0,0,,31406,1325,96466624,0,58207,0,0.6467372584749058
offered_origin_64k_1500,r0,grpc_nvm,0,60.000187068,1500.0119899292845,93.75074937058028,90001,90001,90001,90001,0,1.0,1.0,0.0,0,5898305536,0.73071,1.6687139999999998,1.9386589999999997,2.348587,90001,True,0,21.613021,240.1420095332274,274259968,299880448,0,0,0,0,15.493418,25853952,536870912,536870912,31609,0,0,2166947840,0,0,,31609,1325,96466624,31609,58392,0.351207208808791,0.648792791191209
offered_origin_64k_1500,r0,memcached_extstore,0,60.000860152,1499.99516293601,93.74032281789745,90001,90001,90001,89992,9,0.9999000011110988,0.9999000011110988,0.09999888890123443,589824,5897715712,0.683586,1.388396,1.616471,1.8090789999999997,90001,True,0,6.207505,68.97151142765081,160399360,161288192,0,0,0,0,8.133626,13467648,41943040,42074112,0,0,0,0,30575,1312658,2006695933,0,2048,134415274,,,,
offered_origin_64k_1500,r0,redis,0,60.005386152,1499.8820234573266,54.72217096782329,90001,90001,90001,52538,37463,0.5837490694547839,0.5837490694547839,416.2509305452162,2455175168,3443130368,1.248659,7.243725,7.628834,8.01894,90001,True,0,5.3382,59.31267430361885,101519360,104681472,0,0,0,0,8.909293,12308480,0,0,0,0,0,0,0,0,,37112,,99818880,,,,
offered_origin_64k_1500,r1,grpc,0,60.00600982,1499.8664345450723,60.626219122263244,90001,90001,90001,58207,31794,0.6467372584749058,0.6467372584749058,353.26274152509416,2083651584,3814653952,1.219499,7.119707,7.627603,8.081503,90001,True,0,18.955931,210.61911534316286,116039680,123904000,0,0,0,0,18.145107,34406400,0,0,0,0,0,0,0,0,,31466,1325,96466624,0,58207,0,0.6467372584749058
offered_origin_64k_1500,r1,grpc_nvm,0,60.001288277,1499.9844600753288,93.74902875470805,90001,90001,90001,90001,0,1.0,1.0,0.0,0,5898305536,0.753555,1.6677789999999997,1.912548,2.140814,90001,True,0,21.800024,242.21979755780492,257404928,282611712,0,0,0,0,15.873985,28389376,536870912,536870912,31632,0,0,2168758272,0,0,,31632,1325,96466624,31632,58369,0.35146276152487194,0.648537238475128
offered_origin_64k_1500,r1,memcached_extstore,0,60.001029943,1499.9909182475615,93.74214084897046,90001,90001,90001,89994,7,0.9999222230864101,0.9999222230864101,0.077776913589849,458752,5897846784,0.681272,1.382486,1.559409,1.781678,90001,True,0,6.082713,67.5849490561216,160571392,163610624,0,0,0,0,8.211872,12943360,41943040,42074112,0,0,0,0,30446,1247025,1998228929,0,2048,134415274,,,,
offered_origin_64k_1500,r1,redis,0,60.005742111,1499.87312603374,54.7562180619658,90001,90001,90001,52571,37430,0.5841157320474217,0.5841157320474217,415.8842679525783,2453012480,3445293056,1.249204,7.254432,7.667481,8.18257,90001,True,0,5.180218,57.557338251797205,103813120,103878656,0,0,0,0,9.29799,14401536,0,0,0,0,0,0,0,0,,36968,,99818760,,,,
offered_origin_64k_1500,r2,grpc,0,60.005175403,1499.8872913135478,60.6364363667553,90001,90001,90001,58216,31785,0.646837257363807,0.646837257363807,353.16274263619295,2083061760,3815243776,1.211684,7.060851,7.638119,8.065514,90001,True,0,18.832772,209.2506972144754,117952512,123715584,0,0,0,0,17.951137,34152448,0,0,0,0,0,0,0,0,,31476,1325,96466624,0,58216,0,0.646837257363807
offered_origin_64k_1500,r2,grpc_nvm,0,60.000765611,1499.99752642323,93.74984540145188,90001,90001,90001,90001,0,1.0,1.0,0.0,0,5898305536,0.748916,1.6685939999999997,1.9566209999999997,2.18597,90001,True,0,21.333637,237.03777735802936,261734400,270352384,0,0,0,0,15.637257,29224960,536870912,536870912,31570,0,0,2164441088,0,0,,31570,1325,96466624,31570,58431,0.350773880290219,0.6492261197097811
