case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
origin_uniform_64k_5ms,r0,grpc,0,60.000199028,26495.82877646984,1655.989298529365,1589755,1589755,1589755,1589755,0,1.0,1.0,0.0,0,104186183680,0.269875,0.551917,0.882792,1.378677086,1589755,True,0,158.471691,99.68309016169158,169213952,177717248,0,0,0,0,152.834642,104509440,0,0,0,0,0,0,0,0,,0,2050,146798272,0,1589755,0,1.0
origin_uniform_64k_5ms,r0,memcached,0,60.000072194,69818.81599167331,4363.675999479582,4189134,4189134,4189134,4189134,0,1.0,1.0,0.0,0,274539085824,0.096,0.226375,0.47154166999999997,1.2821195469999997,4189134,True,0,100.729271,24.0453685654362,156880896,158257152,0,0,0,0,173.871351,226205696,0,0,0,0,0,0,0,0,,0,2048,134413226,,,,
origin_uniform_64k_5ms,r0,redis,0,60.000103361,58819.13200659494,3676.1957504121838,3529154,3529154,3529154,3529154,0,1.0,1.0,0.0,0,231286636544,0.125166,0.237416,0.409958,0.714875,3529154,True,0,54.718258,15.504638788786208,162021376,163426304,0,0,0,0,135.500832,211648512,0,0,0,0,0,0,0,0,,0,,169190904,,,,
origin_uniform_64k_5ms,r1,grpc,0,60.000425903,27037.69140943526,1689.8557130897038,1622273,1622273,1622273,1622273,0,1.0,1.0,0.0,0,106317283328,0.261208,0.548041,0.868208,1.251447576,1622273,True,0,161.344665,99.45592696173826,167243776,175341568,0,0,0,0,154.274339,109535232,0,0,0,0,0,0,0,0,,0,2050,146798272,0,1622273,0,1.0
origin_uniform_64k_5ms,r1,memcached,0,60.000082651,69884.10373348238,4367.756483342649,4193052,4193052,4193052,4193052,0,1.0,1.0,0.0,0,274795855872,0.097,0.221167,0.45654149,1.2350313409999993,4193052,True,0,102.592514,24.4672648944015,159125504,159195136,0,0,0,0,172.421633,232697856,0,0,0,0,0,0,0,0,,0,2048,134413226,,,,
origin_uniform_64k_5ms,r1,redis,0,60.000147069,54561.64959454593,3410.1030996591207,3273707,3273707,3273707,3273707,0,1.0,1.0,0.0,0,214545661952,0.136375,0.228542,0.399417,0.6779834019999997,3273707,True,0,56.680455,17.313844824842295,162664448,163586048,0,0,0,0,125.433824,183468032,0,0,0,0,0,0,0,0,,0,,169191064,,,,
origin_uniform_64k_5ms,r2,grpc,0,60.000369527,27039.116805271406,1689.9448003294629,1622357,1622357,1622357,1622357,0,1.0,1.0,0.0,0,106322788352,0.264,0.546709,0.8788520399999995,1.204667,1622357,True,0,162.036908,99.87746716659774,170266624,175910912,0,0,0,0,153.858789,120193024,0,0,0,0,0,0,0,0,,0,2050,146798272,0,1622357,0,1.0
origin_uniform_64k_5ms,r2,memcached,0,60.00005582,71473.08350620797,4467.067719137998,4288389,4288389,4288389,4288389,0,1.0,1.0,0.0,0,281043861504,0.093959,0.222125,0.457458,1.1949417039999999,4288389,True,0,106.594731,24.8565909016183,156991488,158248960,0,0,0,0,175.855078,234811392,0,0,0,0,0,0,0,0,,0,2048,134413226,,,,
origin_uniform_64k_5ms,r2,redis,0,60.000123153,53997.62250051327,3374.8514062820796,3239864,3239864,3239864,3239864,0,1.0,1.0,0.0,0,212327727104,0.13675,0.235542,0.422833,0.7643033709999998,3239864,True,0,56.304674,17.37871527940679,162258944,163631104,0,0,0,0,126.454391,150142976,0,0,0,0,0,0,0,0,,0,,169191144,,,,
origin_uniform_64k_5ms,r3,grpc,0,60.000177694,26216.355691848195,1638.5222307405122,1572986,1572986,1572986,1572986,0,1.0,1.0,0.0,0,103087210496,0.276917,0.550375,0.88525,1.378000615,1572986,True,0,158.180085,100.56038960295896,169762816,174321664,0,0,0,0,150.975043,98107392,0,0,0,0,0,0,0,0,,0,2050,146798272,0,1572986,0,1.0
