case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
hit_100b_c8,r0,grpc,0,10.00008413,40876.05610973995,3.8982444867839767,408764,408764,408764,408764,0,1.0,1.0,0.0,0,40876400,0.166833,0.311333,1.1107697899999993,1.9779991379999995,408764,True,0,24.901659,60.91940337211692,23232512,27045888,0,0,0,0,17.45183,33505280,0,0,0,0,0,0,0,0,,0,1002,12580544,0,408764,0,1.0
hit_100b_c8,r0,memcached,0,10.000070922,104716.65732852288,9.98655865941266,1047174,1047174,1047174,1047174,0,1.0,1.0,0.0,0,104717400,0.075792,0.111292,0.127625,0.21949273399999997,1047174,True,0,12.563745,11.997762549490343,7086080,7720960,0,0,0,0,22.675073,70221824,0,0,0,0,0,0,0,0,,0,1000,183890,,,,
hit_100b_c8,r0,redis,0,10.000052629,108483.82906045603,10.345824152036288,1084844,1084844,1084844,1084844,0,1.0,1.0,0.0,0,108484400,0.075,0.106792,0.118625,0.256875,1084844,True,0,7.022149,6.472957402170266,12169216,13479936,0,0,0,0,17.923828,68702208,0,0,0,0,0,0,0,0,,0,,1423000,,,,
hit_16k_c8,r0,grpc,0,10.000256588,30722.91168695361,480.04549510865013,307237,307237,307237,307237,0,1.0,1.0,0.0,0,5033771008,0.181042,0.8831003999999989,1.7005763599999995,2.3249914999999994,307237,True,0,20.676495,67.29819325146386,40599552,46477312,0,0,0,0,15.706059,27860992,0,0,0,0,0,0,0,0,,0,1002,29357760,0,307237,0,1.0
hit_16k_c8,r0,memcached,0,10.000072255,88704.45906593102,1386.0071729051722,887051,887051,887051,887051,0,1.0,1.0,0.0,0,14533443584,0.077666,0.157459,0.39864549999999965,1.4533582999999999,887051,True,0,14.935407,16.837145778540354,23560192,26009600,0,0,0,0,23.489444,58298368,0,0,0,0,0,0,0,0,,0,1000,16466890,,,,
hit_16k_c8,r0,redis,0,10.000050171,90998.94344920083,1421.858491393763,909994,909994,909994,909994,0,1.0,1.0,0.0,0,14909341696,0.078167,0.138583,0.2872148099999994,1.300958,909994,True,0,8.961038,9.84735943313912,32600064,34058240,0,0,0,0,19.004833,55607296,0,0,0,0,0,0,0,0,,0,,21790904,,,,
hit_1k_c1,r0,grpc,0,10.000059963,8796.247255062584,8.590085210022055,87963,87963,87963,87963,0,1.0,1.0,0.0,0,90074112,0.111166,0.135584,0.15354138,0.34111574999999966,87963,True,0,7.976522,90.68042245034844,19640320,25186304,0,0,0,0,5.787874,14168064,0,0,0,0,0,0,0,0,,0,1002,8387424,0,87963,0,1.0
hit_1k_c1,r0,memcached,0,10.00002913,19687.342650770857,19.225920557393415,196874,196874,196874,196874,0,1.0,1.0,0.0,0,201598976,0.049875,0.061625,0.071709,0.10639779099999985,196874,True,0,3.271773,16.618613935816818,6598656,7659520,0,0,0,0,4.188402,16240640,0,0,0,0,0,0,0,0,,0,1000,1105890,,,,
hit_1k_c1,r0,redis,0,10.000040671,18138.2262300201,17.713111552754004,181383,181383,181383,181383,0,1.0,1.0,0.0,0,185736192,0.0555,0.068875,0.07841617999999999,0.18886383799999987,181383,True,0,3.339736,18.412618602625383,13000704,13881344,0,0,0,0,4.20746,16687104,0,0,0,0,0,0,0,0,,0,,2590776,,,,
hit_1k_c16,r0,grpc,0,10.000225213,58875.07405679464,57.49518950858852,588764,588764,588764,588764,0,1.0,1.0,0.0,0,602894336,0.2285,0.489417,1.3195155399999998,2.2130090919999996,588764,True,0,28.383365,48.20839079835044,21676032,27734016,0,0,0,0,23.147244,47616000,0,0,0,0,0,0,0,0,,0,1002,8387424,0,588764,0,1.0
