case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
onepass_256k_c8,r0,grpc_adapter,888,30.862672597,657.9793093477568,164.4948273369392,20307,20307,5323358208,0,0.0,0.0,10.19,16.505499999999998,22.692039999999988,29.031782,20307,32.731605,1611.8385285862018,165146624,165146624,10.766173,19410944,0,0,9.697912,29114368,,27.244812,5.486793,42188800,122957824
onepass_256k_c8,r0,nginx,0,30.010208555,560.8758089485393,140.21895223713483,16832,16832,4412407808,0,0.0,0.0,13.401,22.948,32.38982999999999,57.428236,16832,13.243396,786.798716730038,37990400,37990400,9.249702,17371136,1993880737,2020495360,8.384119,29114368,13.243396,,,,
onepass_256k_c8,r0,origin_direct,0,30.007878681,798.6902458111814,199.67256145279535,23967,23967,6282805248,0,0.0,0.0,9.199,15.587099999999996,19.022679999999998,23.087383999999993,23967,0.0,0.0,0,0,25.155912,23121920,0,0,8.122344,30105600,,,,,
onepass_256k_c8,r1,grpc_adapter,215,30.660106972,659.423661452449,164.85591536311225,20218,20218,5300027392,0,0.0,0.0,10.688500000000001,19.978049999999993,28.957429999999995,37.77158,20218,32.925112999999996,1628.5049460876444,165253120,165253120,10.996195,17448960,0,0,9.899068,30105600,,27.392861,5.532252,42397696,122855424
onepass_256k_c8,r1,nginx,0,30.009868847,500.63531022402003,125.15882755600501,15024,15024,3938451456,0,0.0,0.0,15.161000000000001,23.90085,31.02227999999999,48.417812999999995,15024,11.888791,791.3199547390841,36691968,36691968,8.96765,19333120,1308147607,1325608960,7.903594,30105600,11.888791,,,,
onepass_256k_c8,r1,origin_direct,0,30.007202973,809.1723851052581,202.29309627631451,24281,24281,6365118464,0,0.0,0.0,9.074,15.364999999999995,19.0556,23.71432,24281,0.0,0.0,0,0,24.333713,19603456,0,0,8.515727,30105600,,,,,
recent_replay_256k_c8,r0,grpc_adapter,0,30.001433014,1939.8406727052748,484.9601681763187,58198,32,8388608,15247867904,0.9994501529262174,0.9994501529262174,3.552,8.597,11.57303,16.424678999999998,58198,34.746677,597.0424585037287,105521152,105521152,26.881252,47620096,0,0,0.026009,30105600,,21.272613,13.474064,58089472,47431680
recent_replay_256k_c8,r0,nginx,0,30.001897098,2367.75027152318,591.937567880795,71037,32,8388608,18613534720,0.9995495305263454,0.9995495305263454,2.731,7.963199999999997,10.920199999999998,14.816847999999998,71037,15.254834,214.74490758337205,25284608,25284608,32.011387,64868352,16815389,17043456,0.025428,30105600,15.254834,,,,
recent_replay_256k_c8,r1,grpc_adapter,0,30.003844013,2013.708642593322,503.4271606483305,60419,32,8388608,15830089728,0.9994703652824443,0.9994703652824443,3.346,8.713099999999997,11.69564,15.929893999999999,60419,32.370791,535.7717108856485,103104512,103104512,25.650334,61390848,0,0,0.024909,30105600,,19.826363,12.544428,52170752,50933760
recent_replay_256k_c8,r1,nginx,0,30.001773347,2457.921375083442,614.4803437708605,73742,32,8388608,19322634240,0.9995660546228744,0.9995660546228744,2.62,7.759,10.585,14.480028999999998,73742,15.282395,207.24139567681917,25624576,25624576,31.395344,66174976,16815389,17043456,0.026148,30105600,15.282395,,,,
repeated_1m_c8,r0,grpc_adapter,0,30.016523513,594.572519108369,594.572519108369,17847,0,0,18713935872,1.0,1.0,12.877,23.044199999999993,28.33562,37.744958,17847,32.962894,1846.9711436095702,252366848,252366848,31.626334,118493184,0,0,0.010275,30105600,,17.665897,15.296997,146296832,106070016
repeated_1m_c8,r0,nginx,0,30.008399181,794.7108359948605,794.7108359948605,23848,0,0,25006440448,1.0,1.0,9.404,19.146599999999996,23.717539999999996,29.770851999999998,23848,14.425855,604.9083780610533,45580288,45580288,36.45988,187072512,33573917,33689600,0.010266,30105600,14.425855,,,,
repeated_1m_c8,r1,grpc_adapter,0,30.014641472,608.6362889605666,608.6362889605666,18268,0,0,19155386368,1.0,1.0,12.558499999999999,22.880249999999997,27.76266,33.979368,18268,33.175181,1816.0269870812351,242720768,242720768,31.1437,103133184,0,0,0.009991,30105600,,17.71281,15.462371,133693440,109027328
repeated_1m_c8,r1,nginx,0,30.00472318,709.288330118165,709.288330118165,21282,0,0,22315794432,1.0,1.0,10.7955,20.678949999999997,25.60257,31.684504,21282,13.237525,622.0056855558688,45092864,45092864,35.874298,173723648,33573917,33689600,0.009965,30105600,13.237525,,,,
