case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,origins,origin_bytes,origin_bytes_avoided,hit_ratio,byte_hit_ratio,p50_ms,p95_ms,p99_ms,p999_ms,samples,server_cpu_s,server_cpu_us_per_object,server_memory_peak_bytes,path_component_peak_sum_upper_bound_bytes,client_cpu_s,client_memory_peak_bytes,cache_file_logical_bytes,cache_file_allocated_bytes,origin_cpu_s,origin_memory_peak_bytes,nginx_cpu_s,adapter_cpu_s,grpc_server_cpu_s,adapter_memory_peak_bytes,grpc_server_memory_peak_bytes
repeated_256k_c8,r0,grpc_adapter,0,60.001708194,2063.42458784166,515.856146960415,123809,0,0,32455786496,1.0,1.0,3.354,8.085,10.792,14.238384,123809,68.918687,556.6532885331438,112730112,112730112,52.877129,63143936,0,0,0.011506,24281088,,40.88167,28.037017,62021632,50708480
repeated_256k_c8,r0,nginx,0,60.003283027,2459.582085426747,614.8955213566868,147583,0,0,38687997952,1.0,1.0,2.665,7.525,10.408,14.417015999999998,147583,31.279325,211.94395695981245,25460736,25460736,62.19665,81600512,16815389,17043456,0.0132,24281088,31.279325,,,,
repeated_256k_c8,r1,grpc_adapter,0,60.004461237,2020.2664518759173,505.0666129689793,121225,0,0,31778406400,1.0,1.0,3.443,8.219,10.958759999999998,14.419263999999997,121225,68.528617,565.3010270158795,107323392,107323392,52.32372,51597312,0,0,0.011623,24281088,,40.782857,27.74576,56733696,50589696
repeated_256k_c8,r1,nginx,0,60.001593944,2502.500185914061,625.6250464785153,150154,0,0,39361970176,1.0,1.0,2.595,7.399,10.246289999999991,13.964847,150154,30.248327,201.4486926755198,25554944,25554944,63.682894,77328384,16815389,17043456,0.012507,24281088,30.248327,,,,
repeated_256k_c8,r2,grpc_adapter,0,60.001385444,2093.901650275367,523.4754125688418,125637,0,0,32934985728,1.0,1.0,3.297,8.019,10.680639999999999,14.337207999999992,125637,67.031699,533.5346991730144,106889216,106889216,52.642441,78114816,0,0,0.010827,24281088,,39.775578,27.256121,56303616,50585600
repeated_256k_c8,r2,nginx,0,60.001472361,2556.220605341222,639.0551513353055,153377,0,0,40206860288,1.0,1.0,2.521,7.282,10.181239999999999,13.939624,153377,30.231686,197.10703690905416,25600000,25600000,63.422096,72204288,16815389,17043456,0.011513,24281088,30.231686,,,,
repeated_256k_c8,r3,grpc_adapter,0,60.002414527,2105.2986116609845,526.3246529152461,126323,0,0,33114816512,1.0,1.0,3.271,7.971,10.63778,14.010068,126323,67.115274,531.298924186411,106598400,106598400,52.864902,55549952,0,0,0.010828,24281088,,39.714839,27.400435,56336384,50262016
repeated_256k_c8,r3,nginx,0,60.002366944,2546.5495409973873,636.6373852493468,152799,0,0,40055341056,1.0,1.0,2.512,7.286,10.074,13.792202,152799,30.410979,199.02603420179452,25497600,25497600,63.354772,79278080,16815389,17043456,0.011234,24281088,30.410979,,,,
repeated_256k_c8,r4,grpc_adapter,0,60.006174819,2118.0653554966607,529.5163388741652,127097,0,0,33317715968,1.0,1.0,3.257,7.966,10.637,14.089271999999998,127097,67.211038,528.8168721527652,113569792,113569792,52.506064,56512512,0,0,0.011544,24281088,,39.776153,27.434885,60760064,52809728
repeated_256k_c8,r4,nginx,0,60.004807695,2488.200624838283,622.0501562095708,149304,0,0,39139147776,1.0,1.0,2.642,7.429849999999993,10.102,13.714182,149304,31.773479,212.81063467824038,25858048,25858048,62.252325,73969664,16815389,17043456,0.01236,24281088,31.773479,,,,
