case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
origin_uniform_64k_5ms,r0,grpc,0,60.002879402,3429.16876740988,138.6152228508349,205760,205760,205760,133077,72683,0.6467583592534992,0.6467583592534992,353.24164074650076,4763353088,8721334272,0.308708,6.8622583499999985,7.5143945,8.463449618999999,205760,True,0,42.377705,205.9569644245723,111345664,117903360,0,0,0,0,31.386653,45772800,0,0,0,0,0,0,0,0,,71594,1325,96466624,0,133077,0,0.6467583592534992
origin_uniform_64k_5ms,r0,grpc_nvm,0,60.00072286,14731.689184185938,920.7305740116211,883912,883912,883912,883912,0,1.0,1.0,0.0,0,57928056832,0.381625,1.37725,2.2365838900000004,3.4129787739999995,883912,True,0,162.693536,184.06078433147192,262746112,296460288,0,0,0,0,84.038299,71794688,536870912,536870912,310259,0,0,21264707584,0,0,,310259,1325,96466624,310259,573653,0.3510066612965997,0.6489933387034004
origin_uniform_64k_5ms,r0,memcached,0,60.006634027,3760.600867871772,162.2799738378667,225661,225661,225661,155806,69855,0.6904427437616601,0.6904427437616601,309.5572562383398,4578017280,10210902016,0.28125,7.118667,7.9434004,8.97655928,225661,True,0,22.220513,98.46855681752717,105013248,106704896,0,0,0,0,33.703646,22208512,0,0,0,0,0,0,0,0,,68810,1410,92540332,,,,
origin_uniform_64k_5ms,r0,memcached_extstore,0,60.000250069,44023.64985083175,2751.4781156769845,2641430,2641430,2641430,2641430,0,1.0,1.0,0.0,0,173108756480,0.121083,0.397333,0.790042,1.6353569819999998,2641430,True,0,121.934241,46.162207970682545,113668096,187461632,0,0,0,0,122.279193,142782464,75497472,75497472,0,0,0,0,904574,27696551,59368225108,0,2048,134413226,,,,
origin_uniform_64k_5ms,r0,redis,0,60.005076402,2650.9090486667255,97.37092843373595,159068,159068,159068,93484,65584,0.5876983428470842,0.5876983428470842,412.3016571529157,4298113024,6126567424,0.558209,7.919693649999999,8.65984636,9.461241,159068,True,0,15.810926,99.39727663640707,97886208,99614720,0,0,0,0,23.931273,17104896,0,0,0,0,0,0,0,0,,64833,,99817792,,,,
origin_uniform_64k_5ms,r0,valkey,0,60.007331486,2589.0503068986945,94.89882084372613,155362,155362,155362,91114,64248,0.5864625841582883,0.5864625841582883,413.5374158417116,4210556928,5971247104,0.563375,8.161455949999999,9.045773129999999,10.531729925999995,155362,True,0,15.380982,99.0009268675738,96301056,98537472,0,0,0,0,23.583593,19578880,0,0,0,0,0,0,0,0,,63364,,99833424,,,,
origin_uniform_64k_5ms,r1,grpc,0,60.006033027,3292.5522657213664,132.85434976867964,197573,197573,197573,127553,70020,0.6455993480890607,0.6455993480890607,354.40065191093925,4588830720,8359313408,0.35825,7.141424999999999,7.979952,9.171095451999998,197573,True,0,45.229048,228.92322331492664,111661056,117903360,0,0,0,0,33.223904,41046016,0,0,0,0,0,0,0,0,,69155,1325,96466624,0,127553,0,0.6455993480890607
origin_uniform_64k_5ms,r1,grpc_nvm,0,60.000589236,15253.166871416088,953.3229294635055,915199,915199,915199,915199,0,1.0,1.0,0.0,0,59978481664,0.365083,1.336334,2.17970982,3.2354669339999997,915199,True,0,162.959312,178.05888336853516,255299584,288624640,0,0,0,0,83.437703,73646080,536870912,536870912,320662,0,0,21976834048,0,0,,320662,1325,96466624,320662,594537,0.3503740716499909,0.6496259283500091
origin_uniform_64k_5ms,r1,memcached,0,60.005297653,3749.252296038769,161.49199119113985,224975,224975,224975,155046,69929,0.6891699077675297,0.6891699077675297,310.8300922324703,4582866944,10161094656,0.285042,7.1327913,7.980164659999998,9.132297408,224975,True,0,22.317762,99.201075675075,104779776,107589632,0,0,0,0,33.382145,23117824,0,0,0,0,0,0,0,0,,68804,1410,92540351,,,,
origin_uniform_64k_5ms,r1,memcached_extstore,0,60.000201777,43969.41879970971,2748.088674981857,2638174,2638174,2638174,2638174,0,1.0,1.0,0.0,0,172895371264,0.121458,0.395708,0.80841627,1.7317333909999992,2638174,True,0,121.666226,46.11758966618578,121761792,196165632,0,0,0,0,122.362468,132132864,75497472,75497472,0,0,0,0,903288,27565282,59283833492,0,2048,134413226,,,,
origin_uniform_64k_5ms,r1,redis,0,60.001341319,2314.2482642472078,84.7741465137762,138858,138858,138858,81385,57473,0.5861023491624537,0.5861023491624537,413.8976508375463,3766550528,5333647360,0.6114375,9.2468456,10.189035689999999,12.152240006,138858,True,0,15.126533,108.93526480289216,98148352,99500032,0,0,0,0,23.133669,16297984,0,0,0,0,0,0,0,0,,56621,,99817880,,,,
origin_uniform_64k_5ms,r1,valkey,0,60.003909444,2411.3928799095665,88.29424697643205,144693,144693,144693,84768,59925,0.5858472766477991,0.5858472766477991,414.1527233522009,3927244800,5555355648,0.591,8.8177416,9.63581528,10.547820692,144693,True,0,14.87083,102.77504785995175,96329728,98021376,0,0,0,0,21.886187,17027072,0,0,0,0,0,0,0,0,,59123,,99833128,,,,
origin_uniform_64k_5ms,r2,grpc,0,60.003900945,3289.702784172877,132.77261768868152,197395,197395,197395,127470,69925,0.6457610375136148,0.6457610375136148,354.23896248638516,4582604800,8353873920,0.359625,7.1452913,7.969504979999999,9.089458,197395,True,0,44.577795,225.83041617062236,111661056,118411264,0,0,0,0,33.364519,40148992,0,0,0,0,0,0,0,0,,68992,1325,96466624,0,127470,0,0.6457610375136148
origin_uniform_64k_5ms,r2,grpc_nvm,0,60.001089902,15234.956589839048,952.1847868649405,914114,914114,914114,914114,0,1.0,1.0,0.0,0,59907375104,0.365625,1.3418896999999983,2.177930959999998,3.2706232499999994,914114,True,0,163.209748,178.54419470656833,253161472,269926400,0,0,0,0,83.502568,75055104,536870912,536870912,321186,0,0,22013390848,0,0,,321186,1325,96466624,321186,592928,0.35136317789684873,0.6486368221031512
origin_uniform_64k_5ms,r2,memcached,0,60.003740153,3783.1975043750735,163.1075408806942,227006,227006,227006,156593,70413,0.6898187713100095,0.6898187713100095,310.1812286899906,4614586368,10262478848,0.283875,7.0903645,7.8808520999999985,8.65436833,227006,True,0,23.320539,102.73093662722572,104779776,106708992,0,0,0,0,33.467661,24793088,0,0,0,0,0,0,0,0,,69379,1410,92540356,,,,
origin_uniform_64k_5ms,r2,memcached_extstore,0,60.000171319,44245.273665732675,2765.329604108292,2654724,2654724,2654724,2654724,0,1.0,1.0,0.0,0,173979992064,0.119625,0.392333,0.837699339999999,1.7778676249999998,2654724,True,0,120.894258,45.539294480330156,113946624,187437056,0,0,0,0,121.554454,136626176,75497472,75497472,0,0,0,0,908077,27762131,59598257706,0,2048,134413226,,,,
origin_uniform_64k_5ms,r2,redis,0,60.006338361,2394.2970680140284,87.79385051469764,143673,143673,143673,84291,59382,0.5866864337767013,0.5866864337767013,413.3135662232987,3891658752,5524094976,0.59,8.9148252,9.77802352,10.902249551999999,143673,True,0,15.789998,109.90233377182908,97837056,100012032,0,0,0,0,22.016967,16973824,0,0,0,0,0,0,0,0,,58473,,99817912,,,,
origin_uniform_64k_5ms,r2,valkey,0,60.001582944,2353.9545636957855,86.32584751696047,141241,141241,141241,82875,58366,0.5867630503890513,0.5867630503890513,413.23694961094867,3825074176,5431296000,0.6315,9.089833,9.964542199999999,11.033082,141241,True,0,15.660354,110.87682755007398,96612352,98377728,0,0,0,0,23.724832,16875520,0,0,0,0,0,0,0,0,,57701,,99832328,,,,
origin_uniform_64k_5ms,r3,grpc,0,60.007086486,3294.210927006412,132.94367327534243,197676,197676,197676,127641,70035,0.6457081284526195,0.6457081284526195,354.29187154738054,4589813760,8365080576,0.357042,7.1452185,7.979572749999999,9.0157317,197676,True,0,44.788594,226.57578057022602,111108096,118714368,0,0,0,0,33.552433,43982848,0,0,0,0,0,0,0,0,,69233,1325,96466624,0,127641,0,0.6457081284526195
origin_uniform_64k_5ms,r3,grpc_nvm,0,60.000425319,15049.826650379648,940.614165648728,902996,902996,902996,902996,0,1.0,1.0,0.0,0,59178745856,0.349417,1.415875,2.2431660499999997,3.3567581249999985,902996,True,0,161.982878,179.38382672791462,275701760,308568064,0,0,0,0,82.984546,75165696,536870912,536870912,317269,0,0,21745307648,0,0,,317269,1325,96466624,317269,585727,0.3513515010033267,0.6486484989966733
origin_uniform_64k_5ms,r3,memcached,0,60.000857985,3733.729941928596,160.61228661778776,224027,224027,224027,154190,69837,0.6882652537417365,0.6882652537417365,311.7347462582635,4576837632,10104995840,0.284125,7.155908899999998,8.00233042,8.9658895,224027,True,0,22.768777,101.63407535698822,104771584,106446848,0,0,0,0,33.695887,22560768,0,0,0,0,0,0,0,0,,68732,1410,92540362,,,,
origin_uniform_64k_5ms,r3,memcached_extstore,0,60.000304694,44454.85758119373,2778.4285988246083,2667305,2667305,2667305,2667305,0,1.0,1.0,0.0,0,174804500480,0.118792,0.390916,0.8018313599999991,1.756458,2667305,True,0,121.24586,45.456316394263126,116686848,191340544,0,0,0,0,121.773931,148254720,75497472,75497472,0,0,0,0,911512,27827780,59823655348,0,2048,134413226,,,,
