case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
offered_origin_64k_1500,r0,grpc,0,60.006553194,1499.8528528880595,60.61942081958669,90001,90001,90001,58201,31800,0.6466705925489716,0.6466705925489716,353.3294074510283,2084044800,3814260736,1.81861,8.459282,10.086799999999998,100.02987599999999,90001,True,0,39.247521,436.0787213475406,111177728,117628928,0,0,0,0,31.393936,40378368,0,0,0,0,0,0,0,0,,31490,1325,96466624,0,58201,0,0.6466705925489716
offered_origin_64k_1500,r0,grpc_nvm,0,60.000647152,1500.0004878614047,93.7500304913378,90001,90001,90001,90001,0,1.0,1.0,0.0,0,5898305536,0.951838,2.5720799999999993,3.1384849999999997,3.9737729999999996,90001,True,0,35.067236,389.6316263152632,251772928,267255808,0,0,0,0,22.222368,28385280,536870912,536870912,31642,0,0,2169384960,0,0,,31642,1325,96466624,31642,58359,0.3515738714014289,0.6484261285985711
offered_origin_64k_1500,r0,memcached_extstore,0,60.000290652,1500.0094003211298,93.74642087358801,90001,90001,90001,89997,4,0.9999555560493772,0.9999555560493772,0.04444395062277086,262144,5898043392,0.955997,2.462713999999999,3.149165,5.000193,90001,True,0,15.623361,173.590971211431,113422336,157171712,0,0,0,0,17.818766,13701120,41943040,42074112,0,0,0,0,30569,1378290,2006300318,0,2048,134415274,,,,
offered_origin_64k_1500,r0,redis,0,60.007066485,1499.8400233828727,54.6768937758381,90001,90001,90001,52496,37505,0.5832824079732447,0.5832824079732447,416.71759202675526,2457927680,3440377856,2.129067,8.802998,9.87815,11.874498999999998,90001,True,0,11.495067,127.72154753836068,97472512,99737600,0,0,0,0,18.124739,13721600,0,0,0,0,0,0,0,0,,37051,,99818720,,,,
offered_origin_64k_1500,r1,grpc,0,60.006944402,1499.843074779197,60.62944107980177,90001,90001,90001,58211,31790,0.6467817024255286,0.6467817024255286,353.2182975744714,2083389440,3814916096,1.871409,8.464633999999998,9.638981,11.167073,90001,True,0,38.226542,424.73463628181906,111108096,117055488,0,0,0,0,31.315795,34545664,0,0,0,0,0,0,0,0,,31451,1325,96466624,0,58211,0,0.6467817024255286
offered_origin_64k_1500,r1,grpc_nvm,0,60.000727819,1499.9984712102114,93.74990445063821,90001,90001,90001,90001,0,1.0,1.0,0.0,0,5898305536,0.956686,2.5648319999999987,3.125783,3.8156239999999997,90001,True,0,35.126415,390.2891634537394,251301888,282009600,0,0,0,0,22.00693,31690752,536870912,536870912,31619,0,0,2167922688,0,0,,31619,1325,96466624,31619,58382,0.35131831868534796,0.6486816813146521
offered_origin_64k_1500,r1,memcached_extstore,0,60.000219528,1500.011178425767,93.74132368591157,90001,90001,90001,89992,9,0.9999000011110988,0.9999000011110988,0.09999888890123443,589824,5897715712,1.014832,2.3855259999999996,2.9534199999999995,4.2326,90001,True,0,15.492353,172.135342940634,113668096,158142464,0,0,0,0,18.270121,12926976,41943040,42074112,0,0,0,0,30255,1640821,1985694204,0,2048,134415274,,,,
offered_origin_64k_1500,r1,redis,0,60.005784777,1499.8720595767802,54.86346045193062,90001,90001,90001,52674,37327,0.585260163775958,0.585260163775958,414.73983622404194,2446262272,3452043264,2.28165,9.048387999999997,10.163646,11.768048,90001,True,0,14.219206,157.98942233975177,97595392,99663872,0,0,0,0,22.527852,13713408,0,0,0,0,0,0,0,0,,36862,,99818376,,,,
offered_origin_64k_1500,r2,grpc,0,60.006358153,1499.8577279181277,60.68940212493018,90001,90001,90001,58268,31733,0.647415028721903,0.647415028721903,352.58497127809693,2079653888,3818651648,1.848574,8.414984,9.555402,11.010277999999998,90001,True,0,39.156769,435.07037699581116,111538176,119214080,0,0,0,0,31.666754,36421632,0,0,0,0,0,0,0,0,,31450,1325,96466624,0,58268,0,0.647415028721903
offered_origin_64k_1500,r2,grpc_nvm,0,60.000386986,1500.00699197157,93.75043699822312,90001,90001,90001,90001,0,1.0,1.0,0.0,0,5898305536,0.924894,2.502462999999999,3.084959,3.989207,90001,True,0,34.066515,378.5126276374707,251281408,267145216,0,0,0,0,21.262017,26525696,536870912,536870912,31550,0,0,2163187712,0,0,,31550,1325,96466624,31550,58451,0.3505516605371051,0.6494483394628948
