case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
cold_origin_uniform_64k_5ms,r0,grpc,0,10.005737046,3261.62878856051,128.0203041626085,32635,32635,32635,20495,12140,0.6280067412287421,0.6280067412287421,371.99325877125784,795607040,1343160320,0.314875,6.917895699999999,7.634637280000001,9.20125025,32635,False,0,6.914163,211.86342883407386,110272512,115126272,0,0,0,0,4.899831,44949504,0,0,0,0,0,0,0,0,,10737,1325,96466624,0,20495,0,0.6280067412287421
cold_origin_uniform_64k_5ms,r0,grpc_nvm,0,10.00053538,12246.444349862397,752.5284611312479,122471,122471,122471,120411,2060,0.9831796915188086,0.9831796915188086,16.820308481191464,135004160,7891255296,0.399083,1.6584789999999998,5.906670399999999,7.286905,122471,False,0,23.468996,191.62900605041193,256356352,274624512,0,0,0,0,12.606982,44048384,536870912,536870912,41742,134217728,134217728,2816266240,0,0,,42467,1325,96466624,41742,78669,0.34083170709800686,0.6423479844208017
cold_origin_uniform_64k_5ms,r0,memcached_extstore,0,10.000115379,28320.17324467312,1757.0797269898178,283205,283205,283205,281136,2069,0.9926943380236931,0.9926943380236931,7.305661976306915,135593984,18424528896,0.158541,0.8169915999999995,1.8071199999999998,6.884709068,283205,False,0,13.53009,47.77489804205434,113500160,158248960,0,0,0,0,15.51902,24576000,41943040,42074112,0,0,0,0,95730,49489876,6283376775,0,2048,134423466,,,,
cold_origin_uniform_64k_5ms,r0,redis,0,10.001035087,2470.5442771735775,87.19722432866614,24708,24708,24708,13953,10755,0.5647158814958718,0.5647158814958718,435.28411850412823,704839680,914423808,0.634521,8.203800549999999,9.03247856,10.573011181,24708,False,0,2.549296,103.17694673789866,99426304,100274176,0,0,0,0,3.605814,11419648,0,0,0,0,0,0,0,0,,9509,,99817912,,,,
onepass_64k_5ms,r0,grpc,0,10.006472088,541.4495690741389,0,5418,5418,5418,0,5418,0.0,0.0,1000.0,355074048,0,7.320896,8.7406107,9.369929579999999,,5418,True,0,4.119738,760.3798449612403,110346240,115380224,0,0,0,0,3.051129,29605888,0,0,0,0,0,0,0,0,,5159,1325,96466624,0,0,0,0.0
onepass_64k_5ms,r0,grpc_nvm,0,10.006688421,542.9368609697416,0,5433,5433,5433,0,5433,0.0,0.0,1000.0,356057088,0,7.285792,8.94535,9.746008559999996,,5433,True,0,5.634903,1037.1623412479294,306368512,324124672,0,0,0,0,2.569327,27992064,536870912,536870912,0,352321536,352321536,352235520,0,0,,5229,1325,96466624,0,0,0.0,0.0
onepass_64k_5ms,r0,memcached_extstore,0,10.00210913,615.8701049885466,0,6160,6160,6160,0,6160,0.0,0.0,1000.0,403701760,0,6.3271875,7.562494399999999,8.119684219999998,,6160,True,0,2.175677,353.1943181818182,121802752,659259392,0,0,0,0,1.599913,9920512,536870912,537001984,0,0,0,0,0,385110988,0,0,15470,1015278644,,,,
onepass_64k_5ms,r0,redis,0,10.005799754,570.9688521116091,0,5713,5713,5713,0,5713,0.0,0.0,1000.0,374407168,0,6.956125,8.208025,8.894218,,5713,True,0,1.333009,233.32907404165937,97382400,98779136,0,0,0,0,1.599691,12148736,0,0,0,0,0,0,0,0,,5509,,100301064,,,,
origin_near_64k_5ms,r0,grpc,0,10.005088629,13532.913602338866,798.7997704322985,135398,135398,135398,127873,7525,0.9444231081699878,0.9444231081699878,55.57689183001226,493158400,8380284928,0.219625,5.370525049999999,6.346586029999998,7.950726749999999,135398,True,0,16.645058,122.93429740468838,111329280,117284864,0,0,0,0,13.582788,39813120,0,0,0,0,0,0,0,0,,6755,1325,96466624,0,127873,0,0.9444231081699878
origin_near_64k_5ms,r0,grpc_nvm,0,10.000174629,19241.863981253482,1202.6164988283426,192422,192422,192422,192422,0,1.0,1.0,0.0,0,12610568192,0.2861455,1.2379979499999998,2.0520393199999996,3.3662746819999985,192422,True,0,21.124321,109.78121524565798,249712640,267522048,0,0,0,0,17.799645,35713024,536870912,536870912,10717,0,0,672784384,0,0,,10717,1325,96466624,10717,181705,0.055695294716820325,0.9443047052831797
