case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after,flash_hits,inferred_dram_hits,flash_hit_ratio,inferred_dram_hit_ratio
hit_1k_c8,r0,grpc,0,60.000107486,44312.17061770048,43.27360411884813,2658735,2658735,2658735,2658735,0,1.0,1.0,0.0,0,2722544640,0.163709,0.287375,0.466486059999999,1.6104194219999997,2658735,True,0,164.194445,61.75660417454165,20873216,28135424,0,0,0,0,109.424699,170971136,0,0,0,0,0,0,0,0,,0,1002,8387424,0,2658735,0,1.0
hit_1k_c8,r0,memcached,0,60.00005111,103557.11178660028,101.12999197910183,6213432,6213432,6213432,6213432,0,1.0,1.0,0.0,0,6362554368,0.076583,0.114458,0.133,0.206167,6213432,True,0,77.594995,12.488266548986132,6447104,7786496,0,0,0,0,140.71768,303206400,0,0,0,0,0,0,0,0,,0,1000,1105890,,,,
hit_1k_c8,r0,redis,0,60.000093694,112744.80727480045,110.10235085429731,6764699,6764699,6764699,6764699,0,1.0,1.0,0.0,0,6927051776,0.073958,0.108167,0.123291,0.254417,6764699,True,0,45.008911,6.653497960515316,13529088,14135296,0,0,0,0,117.580812,386228224,0,0,0,0,0,0,0,0,,0,,2591032,,,,
hit_1k_c8,r0,valkey,0,60.000053778,111724.43319472385,109.10589179172251,6703472,6703472,6703472,6703472,0,1.0,1.0,0.0,0,6864355328,0.074834,0.108375,0.123333,0.20579152899999997,6703472,True,0,44.43833,6.629151281604518,11616256,12742656,0,0,0,0,115.877654,362717184,0,0,0,0,0,0,0,0,,0,,2450784,,,,
hit_1k_c8,r1,grpc,0,60.000142819,44321.9778329908,43.28318147753008,2659325,2659325,2659325,2659325,0,1.0,1.0,0.0,0,2723148800,0.163958,0.287958,0.462167,1.5620708919999995,2659325,True,0,164.244739,61.76181512225847,20885504,27553792,0,0,0,0,109.752705,169771008,0,0,0,0,0,0,0,0,,0,1002,8387424,0,2659325,0,1.0
hit_1k_c8,r1,memcached,0,60.000086361,104674.34933697528,102.22104427438993,6280470,6280470,6280470,6280470,0,1.0,1.0,0.0,0,6431201280,0.075916,0.111875,0.127042,0.195084,6280470,True,0,79.177554,12.60694725076308,6537216,7983104,0,0,0,0,139.435315,366694400,0,0,0,0,0,0,0,0,,0,1000,1105890,,,,
hit_1k_c8,r1,redis,0,60.000022444,109190.90915532058,106.63174722199275,6551457,6551457,6551457,6551457,0,1.0,1.0,0.0,0,6708691968,0.075791,0.107875,0.115417,0.230459,6551457,True,0,44.638639,6.813543765913445,13279232,13893632,0,0,0,0,112.253289,341508096,0,0,0,0,0,0,0,0,,0,,2590760,,,,
hit_1k_c8,r1,valkey,0,60.000063278,109321.90137214542,106.75966930873577,6559321,6559321,6559321,6559321,0,1.0,1.0,0.0,0,6716744704,0.075542,0.108292,0.115167,0.156583,6559321,True,0,44.648261,6.80684189720247,12013568,12611584,0,0,0,0,111.719704,342896640,0,0,0,0,0,0,0,0,,0,,2451168,,,,
hit_1k_c8,r2,grpc,0,60.000229278,42427.10453997209,41.432719277316494,2545636,2545636,2545636,2545636,0,1.0,1.0,0.0,0,2606731264,0.170792,0.304083,0.5089436499999991,1.606458365,2545636,True,0,164.840405,64.75411449240976,20971520,27537408,0,0,0,0,109.9483,135393280,0,0,0,0,0,0,0,0,,0,1002,8387424,0,2545636,0,1.0
hit_1k_c8,r2,memcached,0,60.000075985,105071.68360213535,102.6090660177103,6304309,6304309,6304309,6304309,0,1.0,1.0,0.0,0,6455612416,0.075791,0.111208,0.125542,0.19152906399999975,6304309,True,0,79.111253,12.548758793390363,7073792,7708672,0,0,0,0,139.047327,355213312,0,0,0,0,0,0,0,0,,0,1000,1105890,,,,
hit_1k_c8,r2,redis,0,60.000076194,108868.72841426845,106.31711759205903,6532132,6532132,6532132,6532132,0,1.0,1.0,0.0,0,6688903168,0.075083,0.109417,0.124,0.257125,6532132,True,0,45.041984,6.8954491427913585,13029376,13889536,0,0,0,0,114.910891,360042496,0,0,0,0,0,0,0,0,,0,,2590600,,,,
hit_1k_c8,r2,valkey,0,60.000086444,109187.79268950748,106.62870379834715,6551277,6551277,6551277,6551277,0,1.0,1.0,0.0,0,6708507648,0.074958,0.109,0.122625,0.203875,6551277,True,0,45.170001,6.894839128310404,11218944,12328960,0,0,0,0,115.140822,368881664,0,0,0,0,0,0,0,0,,0,,2450848,,,,
hit_1k_c8,r3,grpc,0,60.000122402,42078.29749220384,41.092087394730314,2524703,2524703,2524703,2524703,0,1.0,1.0,0.0,0,2585295872,0.172584,0.306125,0.507583,1.5951209519999998,2524703,True,0,164.347472,65.09576453151124,20946944,28274688,0,0,0,0,109.42426,142671872,0,0,0,0,0,0,0,0,,0,1002,8387424,0,2524703,0,1.0
hit_1k_c8,r3,memcached,0,60.000073736,103062.50667638346,100.64697917615572,6183758,6183758,6183758,6183758,0,1.0,1.0,0.0,0,6332168192,0.076917,0.114083,0.133,0.2167189629999998,6183758,True,0,78.854353,12.751849765142815,6619136,7737344,0,0,0,0,139.948262,349110272,0,0,0,0,0,0,0,0,,0,1000,1105890,,,,
