case,repetition,engine,errors,elapsed_s,objects_s,payload_mib_s,operations,batches,get_attempts,hits,origins,hit_ratio,byte_hit_ratio,origin_per_1000_gets,origin_bytes,origin_bytes_avoided,p50_ms,p95_ms,p99_ms,p999_ms,samples,warmup_stable,dropped_arrivals,server_cpu_s,server_cpu_us_per_object,server_memory_current_bytes,server_memory_peak_bytes,cgroup_io_rbytes_delta,cgroup_io_wbytes_delta,cgroup_io_rios_delta,cgroup_io_wios_delta,client_cpu_s,client_memory_peak_bytes,flash_file_logical_bytes,flash_file_allocated_bytes,nvm_hits_delta,nvm_written_bytes_delta,nvm_device_bytes_written_delta,nvm_device_bytes_read_delta,extstore_objects_read_delta,extstore_bytes_written_delta,extstore_bytes_read_delta,evictions_delta,cache_item_count_after,cache_used_bytes_after
origin_uniform_64k_5ms,r0,memcached,0,60.000077235,65754.14869130543,4109.634293206589,3945254,3945254,3945254,3945254,0,1.0,1.0,0.0,0,258556166144,0.097208,0.23475,0.645042,1.754291747,3945254,True,0,99.981652,25.34225983929045,149811200,152420352,0,0,0,0,161.079003,173060096,0,0,0,0,0,0,0,0,,0,2048,134413226
origin_uniform_64k_5ms,r0,redis,0,60.000099861,53999.360126164975,3374.960007885311,3239967,3239967,3239967,3239967,0,1.0,1.0,0.0,0,212334477312,0.129875,0.246458,0.6197639399999988,1.4545,3239967,True,0,53.740887,16.586862458784303,156135424,158416896,0,0,0,0,120.845463,166977536,0,0,0,0,0,0,0,0,,0,,169191336
origin_uniform_64k_5ms,r1,memcached,0,60.000100028,65281.591166883314,4080.099447930207,3916902,3916902,3916902,3916902,0,1.0,1.0,0.0,0,256698089472,0.0975,0.236375,0.6737075899999986,1.8026201249999987,3916902,True,0,96.896376,24.73801386912412,150532096,152211456,0,0,0,0,160.491618,185696256,0,0,0,0,0,0,0,0,,0,2048,134413226
origin_uniform_64k_5ms,r1,redis,0,60.000113153,57599.758040242974,3599.984877515186,3455992,3455992,3455992,3455992,0,1.0,1.0,0.0,0,226491891712,0.119917,0.245833,0.6242154699999974,1.4635,3455992,True,0,51.952678,15.032638385737004,156491776,158552064,0,0,0,0,125.553781,188059648,0,0,0,0,0,0,0,0,,0,,169191560
origin_uniform_64k_5ms,r2,memcached,0,60.000160986,65517.59087641859,4094.8494297761617,3931066,3931066,3931066,3931066,0,1.0,1.0,0.0,0,257626341376,0.097792,0.234209,0.6581810499999985,1.7690748749999996,3931066,True,0,97.572266,24.820816033106542,150278144,152166400,0,0,0,0,160.05587,215654400,0,0,0,0,0,0,0,0,,0,2048,134413226
origin_uniform_64k_5ms,r2,redis,0,60.000133485,52605.63296561806,3287.852060351129,3156345,3156345,3156345,3156345,0,1.0,1.0,0.0,0,206854225920,0.133334,0.247375,0.656417,1.5282486559999997,3156345,True,0,53.617047,16.987067953598228,156368896,158425088,0,0,0,0,117.984213,176828416,0,0,0,0,0,0,0,0,,0,,169190760
origin_uniform_64k_5ms,r3,memcached,0,60.000097402,65236.84409668185,4077.302756042616,3914217,3914217,3914217,3914217,0,1.0,1.0,0.0,0,256522125312,0.097667,0.236917,0.658417,1.8207190719999988,3914217,True,0,96.601622,24.679679741823204,150028288,152363008,0,0,0,0,160.698524,169439232,0,0,0,0,0,0,0,0,,0,2048,134413226
origin_uniform_64k_5ms,r3,redis,0,60.000126402,52825.22204643805,3301.576377902378,3169520,3169520,3169520,3169520,0,1.0,1.0,0.0,0,207717662720,0.126583,0.258917,0.8389082099999988,2.0952670479999993,3169520,True,0,51.50662,16.25060576995886,156585984,158564352,0,0,0,0,114.336708,169005056,0,0,0,0,0,0,0,0,,0,,169190872
origin_uniform_64k_5ms,r4,memcached,0,60.000077903,65292.23189232098,4080.7644932700614,3917539,3917539,3917539,3917539,0,1.0,1.0,0.0,0,256739835904,0.097667,0.235208,0.6611504199999986,1.8380798079999998,3917539,True,0,96.526328,24.639532114421836,150024192,152293376,0,0,0,0,160.386849,219103232,0,0,0,0,0,0,0,0,,0,2048,134413226
origin_uniform_64k_5ms,r4,redis,0,60.000117777,52474.61366162378,3279.663353851486,3148483,3148483,3148483,3148483,0,1.0,1.0,0.0,0,206338981888,0.134875,0.245,0.6142911799999999,1.453813238,3148483,True,0,54.013298,17.155340524309644,155967488,158351360,0,0,0,0,117.951368,166035456,0,0,0,0,0,0,0,0,,0,,169191592
